"","place","africa_id","asia_id","europe_id","is_place"
"92","Jewish","","7014783","",1
"93","Christ","","","7658125; 7617897; 7611768",1
"94","Odyssopolis","","","",0
"95","Makarios","","","",0
"96","Illyricum","","","7016683",1
"97","Philoumenos","","","",0
"98","Eusebios","","","",0
"99","Caesarea","7001266","7002346; 7002351; 7016212; 7002465; 7018751; 7001363; 7701210","7007511; 7005254; 7008813",1
"100","Byzantium","","7002473","",1
"101","Treviri","","","7004447",1
"102","Julius","","","7656661",1
"103","Athens","","","7001393; 7223626; 7001387; 7225614",1
"104","Constantius","","","",0
"105","Pope Julius","","","",0
"106","Thrace","","7032481; 7001317; 7699861","7001303; 7218763; 7002756",1
"107","Julius","","","7656661",1
"108","Hermogenes","","","",0
"109","Thessalonica","","","7011182",1
"110","Koukousos","","","",0
"111","Italy","","7963880","4005361; 7023981; 1000080; 7594282; 4005362; 4005363; 4005364; 4005365",1
"112","Lugdunum","","","7006809; 7008772; 7017042",1
"113","Prousa","","","",0
"114","Caesar","","","7008813",1
"115","St Akakios","","","",0
"116","Egypt","7014986; 7016833; 7532856; 7531269; 7594162; 7001436; 7029636; 7029635; 7029634; 7029631; 7029633; 7029632; 7001437","","",1
"117","Him","","","7171137; 7171126; 7171133; 7171130; 7171127; 7171129; 7171131; 7171134; 7171128",1
"118","Daphne","","","7234460; 7010768",1
"119","Jovian","","","",0
"120","Eudoxios","","","",0
"121","Liberius","","","",0
"122","Tarsos","","7002623; 7703355","7236059; 7232833; 7220027",1
"123","Bizye","","","",0
"124","Damasus","","","",0
"125","Auxentios","","","",0
"126","Thee","","","",0
"127","Valentinian","","","",0
"128","Pannonia","","","4008442; 6004528; 6004529",1
"129","Paulinus","","","",0
"130","Doliche","","","",0
"131","Demophilos","","","",0
"132","Liberius","","","",0
"133","Christianity","","","",0
"134","Ravenna","","","7044403; 7005035; 1045268; 7034659; 7110082; 7003133; 7004935; 7034674",1
"135","Theodore","","","7597795",1
"136","Theodosios","","7873625; 7873867","",1
"137","Theodosios","","7873625; 7873867","",1
"138","Chalcedon","","7002469","",1
"139","Philip","","","7456931; 7885551; 7884007",1
"140","Celestinus","","","",0
"141","Nestorios","","","",0
